air_humidity_100;atm_pressure_main;num_of_resets;piezo_charge;piezo_temperature;chuva
40.0;9446;0;20091;21;0.0
48.0;9449;0;20027;20;0.0
60.0;9454;0;19966;19;0.0
64.0;9456;0;19910;17;0.0
56.0;9454;0;19854;17;0.0
59.0;9453;0;19798;18;0.0
68.0;9450;0;19744;17;0.0
64.0;9452;0;19692;16;0.0
68.0;9456;0;19641;16;0.0
71.0;9459;0;19591;15;0.0
72.0;9465;0;19541;15;0.0
63.0;9475;0;19489;16;0.0
55.0;9477;0;19426;20;0.0
50.0;9477;0;19348;25;0.0
43.0;9476;0;19254;30;0.0
35.0;9473;0;19139;35;0.0
26.0;9469;0;19006;40;0.0
23.0;9458;0;18873;40;0.0
22.0;9445;0;18732;41;0.0
22.0;9433;0;18590;41;0.0
24.0;9426;0;18460;39;0.0
27.0;9425;0;18339;36;0.0
32.0;9429;0;18233;33;0.0
42.0;9429;0;18147;27;0.0
50.0;9437;0;18075;23;0.0
56.0;9441;0;18009;21;0.0
63.0;9443;0;17945;20;0.0
62.0;9440;0;17885;19;0.0
69.0;9440;0;17826;18;0.0
67.0;9436;0;17769;18;0.0
73.0;9433;0;17714;17;0.0
68.0;9428;0;17660;17;0.0
69.0;9429;0;17605;17;0.0
74.0;9432;0;17552;17;0.0
71.0;9436;0;17501;15;0.0
67.0;9442;0;17448;16;0.0
45.0;9448;0;17381;21;0.0
36.0;9452;0;17291;28;0.0
32.0;9453;0;17186;32;0.0
30.0;9449;0;17078;33;0.0
28.0;9441;0;16950;39;0.0
33.0;9433;1;65531;35;0.0
30.0;9426;1;65431;33;0.0
33.0;9419;1;65322;34;0.0
34.0;9416;1;65214;33;0.0
38.0;9416;1;65112;32;0.0
46.0;9416;1;65021;29;0.0
53.0;9420;1;64941;25;0.0
53.0;9425;1;64867;24;0.0
57.0;9429;1;64796;23;0.0
61.0;9431;1;64726;22;0.0
68.0;9428;1;64661;21;0.0
73.0;9424;1;64599;20;0.0
81.0;9422;1;64541;18;0.0
85.0;9418;1;64486;17;0.0
86.0;9410;1;64432;17;0.0
87.0;9409;1;64380;16;0.0
87.0;9414;1;64328;16;0.0
84.0;9418;1;64276;16;0.0
74.0;9429;1;64224;16;0.0
58.0;9439;1;64154;22;0.0
32.0;9440;1;64060;30;0.0
30.0;9441;1;63940;36;0.0
29.0;9434;1;63814;38;0.0
26.0;9425;1;63676;41;0.0
24.0;9413;1;63532;42;0.0
24.0;9405;1;63382;43;0.0
25.0;9397;1;63235;43;0.0
28.0;9396;1;63103;39;0.0
32.0;9390;1;62985;36;0.0
40.0;9395;1;62880;33;0.0
50.0;9403;1;62790;28;0.0
62.0;9420;1;62700;25;0.0
63.0;9434;1;62613;23;0.0
75.0;9469;1;62505;21;0.0
92.0;9487;1;61916;18;9.2
92.0;9470;1;61671;17;4.0
91.0;9453;1;61610;17;0.0
91.0;9445;1;61550;17;0.0
91.0;9452;1;61478;17;0.4
92.0;9444;1;61423;17;0.0
97.0;9458;1;61369;17;0.0
97.0;9464;1;61315;17;0.0
96.0;9464;1;61262;17;0.0
87.0;9465;1;61206;18;0.0
88.0;9483;1;61147;19;0.0
86.0;9481;1;61082;20;0.0
83.0;9482;1;61015;21;0.0
87.0;9480;1;60939;21;0.2
78.0;9474;1;60867;23;0.0
76.0;9468;1;60793;23;0.0
79.0;9471;1;60721;23;0.0
82.0;9468;1;60654;21;0.0
82.0;9465;1;60589;21;0.0
84.0;9467;1;60525;20;0.0
86.0;9468;1;60464;19;0.0
92.0;9472;1;60406;18;0.0
93.0;9477;1;60349;18;0.0
93.0;9483;1;60293;18;0.0
93.0;9485;1;60238;17;0.0
95.0;9484;1;60182;17;0.0
96.0;9480;1;60128;17;0.0
96.0;9477;1;60075;17;0.0
94.0;9473;1;60022;17;0.0
92.0;9476;1;59968;17;0.0
90.0;9481;1;59913;18;0.0
90.0;9487;1;59857;18;0.0
86.0;9492;1;59802;17;0.0
79.0;9499;1;59740;19;0.0
71.0;9501;1;59672;22;0.0
73.0;9506;1;59601;22;0.0
66.0;9507;1;59528;23;0.0
57.0;9501;1;59442;27;0.0
52.0;9492;1;59338;32;0.0
46.0;9483;1;59221;36;0.0
47.0;9475;1;59106;35;0.0
51.0;9471;1;59003;32;0.0
56.0;9471;1;58917;27;0.0
58.0;9473;1;58841;24;0.0
63.0;9474;1;58770;23;0.0
64.0;9478;1;58706;20;0.0
66.0;9479;1;58641;20;0.0
65.0;9482;1;58582;19;0.0
67.0;9485;1;58523;19;0.0
69.0;9484;1;58465;18;0.0
72.0;9480;1;58410;17;0.0
76.0;9477;1;58357;16;0.0
77.0;9472;1;58308;15;0.0
77.0;9470;1;58261;14;0.0
79.0;9476;1;58216;13;0.0
81.0;9480;1;58173;12;0.0
69.0;9488;1;58129;12;0.0
58.0;9492;1;58074;17;0.0
53.0;9495;1;58006;21;0.0
46.0;9492;1;57925;26;0.0
40.0;9488;1;57828;30;0.0
38.0;9480;1;57718;34;0.0
38.0;9471;1;57601;36;0.0
35.0;9461;1;57496;32;0.0
37.0;9451;1;57377;36;0.0
36.0;9441;1;57270;33;0.0
39.0;9441;1;57167;32;0.0
45.0;9442;1;57077;29;0.0
52.0;9445;1;57005;22;0.0
57.0;9446;1;56942;20;0.0
61.0;9448;1;56882;19;0.0
53.0;9450;1;56824;18;0.0
51.0;9453;1;56765;19;0.0
58.0;9453;1;56704;19;0.0
62.0;9450;1;56646;18;0.0
65.0;9447;1;56591;17;0.0
70.0;9442;1;56539;16;0.0
72.0;9441;1;56488;15;0.0
72.0;9444;1;56439;15;0.0
73.0;9448;1;56392;14;0.0
70.0;9448;1;56344;14;0.0
58.0;9452;1;56291;16;0.0
49.0;9455;1;56220;22;0.0
42.0;9451;1;56135;27;0.0
36.0;9447;1;56034;32;0.0
30.0;9442;1;55919;35;0.0
29.0;9435;1;55800;36;0.0
33.0;9426;1;55678;37;0.0
35.0;9420;1;55561;35;0.0
35.0;9413;1;55457;32;0.0
34.0;9410;1;55352;32;0.0
41.0;9411;1;55256;30;0.0
57.0;9416;1;55181;24;0.0
61.0;9420;1;55116;21;0.0
62.0;9425;1;55054;20;0.0
66.0;9427;1;54993;19;0.0
64.0;9429;1;54934;19;0.0
67.0;9426;1;54875;19;0.0
71.0;9420;1;54816;19;0.0
74.0;9416;1;54758;18;0.0
77.0;9416;1;54703;17;0.0
79.0;9419;1;54648;17;0.0
82.0;9425;1;54595;17;0.0
85.0;9431;1;54543;16;0.0
75.0;9435;1;54490;16;0.0
62.0;9439;1;54425;21;0.0
54.0;9442;1;54343;26;0.0
45.0;9438;1;54245;31;0.0
44.0;9439;1;54131;35;0.0
41.0;9434;1;54008;37;0.0
38.0;9427;1;53877;39;0.0
34.0;9416;1;53738;41;0.0
32.0;9409;1;53604;40;0.0
29.0;9400;1;53472;39;0.0
30.0;9397;1;53353;36;0.0
38.0;9401;1;53246;33;0.0
38.0;9409;1;53161;27;0.0
55.0;9417;1;53085;25;0.0
65.0;9429;1;53014;23;0.0
71.0;9438;1;52946;22;0.0
78.0;9444;1;52882;20;0.0
80.0;9441;1;52822;19;0.0
81.0;9440;1;52763;19;0.0
78.0;9437;1;52704;19;0.0
78.0;9434;1;52644;19;0.0
81.0;9437;1;52586;18;0.0
83.0;9442;1;52528;18;0.0
81.0;9448;1;52471;18;0.0
75.0;9456;1;52412;19;0.0
66.0;9463;1;52340;23;0.0
62.0;9467;1;52254;27;0.0
54.0;9466;1;52154;32;0.0
47.0;9463;1;52042;34;0.0
38.0;9457;1;51914;38;0.0
35.0;9449;1;51776;41;0.0
33.0;9438;1;51640;40;0.0
31.0;9427;1;51493;43;0.0
33.0;9419;1;51351;41;0.0
33.0;9418;1;51227;37;0.0
38.0;9420;1;51118;33;0.0
53.0;9432;1;51031;28;0.0
62.0;9439;1;50955;24;0.0
65.0;9448;1;50884;23;0.0
63.0;9460;1;50815;22;0.0
68.0;9454;1;50748;22;0.0
71.0;9458;1;50684;20;0.0
82.0;9456;1;50623;20;0.0
72.0;9454;1;50562;19;0.0
79.0;9453;1;50500;20;0.0
80.0;9458;1;50439;19;0.0
86.0;9462;1;50379;19;0.0
88.0;9468;1;50320;18;0.0
74.0;9476;1;50262;18;0.0
64.0;9477;1;50190;23;0.0
52.0;9480;1;50097;29;0.0
49.0;9479;1;49990;33;0.0
40.0;9475;1;49869;37;0.0
35.0;9471;1;49731;41;0.0
36.0;9466;1;49584;43;0.0
35.0;9457;1;49451;39;0.0
30.0;9447;1;49310;41;0.0
31.0;9437;1;49168;41;0.0
35.0;9433;1;49041;38;0.0
38.0;9435;1;48929;34;0.0
49.0;9447;1;48835;29;0.0
51.0;9454;1;48759;24;0.0
52.0;9459;1;48688;23;0.0
57.0;9466;1;48617;23;0.0
66.0;9473;1;48549;22;0.0
68.0;9470;1;48482;21;0.0
72.0;9466;1;48418;20;0.0
74.0;9467;1;48356;20;0.0
73.0;9464;1;48297;19;0.0
73.0;9465;1;48241;18;0.0
74.0;9471;1;48188;17;0.0
75.0;9478;1;48136;16;0.0
66.0;9482;1;48082;17;0.0
60.0;9486;1;48017;21;0.0
52.0;9485;1;47938;25;0.0
44.0;9483;1;47844;29;0.0
41.0;9478;1;47737;33;0.0
34.0;9471;1;47617;37;0.0
33.0;9466;1;47482;40;0.0
27.0;9456;1;47344;41;0.0
26.0;9446;1;47205;41;0.0
29.0;9437;1;47072;39;0.0
31.0;9434;1;46950;37;0.0
32.0;9433;1;46842;33;0.0
40.0;9436;1;46753;28;0.0
47.0;9443;1;46678;24;0.0
48.0;9451;1;46608;22;0.0
51.0;9457;1;46537;22;0.0
54.0;9465;1;46470;22;0.0
58.0;9466;1;46403;21;0.0
63.0;9465;1;46340;20;0.0
69.0;9459;1;46278;19;0.0
73.0;9456;1;46220;18;0.0
75.0;9455;1;46164;18;0.0
79.0;9462;1;46111;16;0.0
79.0;9461;1;46060;16;0.0
67.0;9464;1;46006;17;0.0
56.0;9464;1;45940;22;0.0
49.0;9465;1;45857;26;0.0
45.0;9459;1;45760;31;0.0
44.0;9452;1;45651;34;0.0
39.0;9450;1;45533;36;0.0
35.0;9441;1;45402;39;0.0
33.0;9427;1;45265;40;0.0
33.0;9412;1;45125;41;0.0
64.0;9408;1;45000;33;0.0
79.0;9420;1;44912;23;0.2
82.0;9418;1;44785;21;1.2
75.0;9419;1;44719;21;0.0
78.0;9420;1;44655;21;0.0
82.0;9426;1;44593;19;0.0
83.0;9430;1;44532;19;0.0
85.0;9427;1;44472;19;0.0
86.0;9425;1;44413;19;0.0
85.0;9423;1;44354;19;0.0
82.0;9426;1;44295;19;0.0
84.0;9422;1;44235;19;0.0
85.0;9425;1;44175;19;0.0
86.0;9427;1;44117;18;0.0
89.0;9430;1;44060;18;0.0
76.0;9436;1;44001;19;0.0
66.0;9439;1;43929;23;0.0
61.0;9441;1;43842;27;0.0
57.0;9438;1;43746;30;0.0
55.0;9433;1;43647;31;0.0
48.0;9428;1;43543;32;0.0
41.0;9423;1;43432;34;0.0
32.0;9407;1;43296;41;0.0
33.0;9389;1;43155;41;0.0
38.0;9386;1;43030;37;0.0
34.0;9386;1;42916;35;0.0
65.0;9392;1;42822;29;0.0
73.0;9397;1;42746;24;0.0
75.0;9405;1;42678;22;0.0
77.0;9410;1;42611;21;0.0
78.0;9412;1;42546;21;0.0
79.0;9413;1;42479;21;0.0
80.0;9411;1;42416;20;0.0
77.0;9404;1;42356;19;0.0
79.0;9401;1;42296;19;0.0
79.0;9398;1;42237;19;0.0
81.0;9401;1;42179;18;0.0
85.0;9407;1;42123;17;0.0
89.0;9410;1;42070;17;0.0
82.0;9420;1;42013;18;0.0
75.0;9422;1;41945;22;0.0
65.0;9422;1;41860;27;0.0
57.0;9421;1;41766;30;0.0
48.0;9421;1;41665;32;0.0
46.0;9413;1;41550;35;0.0
43.0;9403;1;41424;38;0.0
33.0;9389;1;41289;40;0.0
29.0;9375;1;41158;39;0.0
56.0;9378;1;41046;34;0.0
45.0;9375;1;40950;30;0.0
46.0;9375;1;40852;31;0.0
55.0;9379;1;40767;27;0.0
59.0;9385;1;40695;23;0.0
61.0;9389;1;40626;22;0.0
63.0;9395;1;40557;22;0.0
61.0;9393;1;40484;23;0.0
62.0;9391;1;40414;23;0.0
65.0;9395;1;40345;22;0.0
69.0;9388;1;40279;21;0.0
72.0;9387;1;40215;20;0.0
77.0;9388;1;40154;20;0.0
82.0;9390;1;40094;19;0.0
84.0;9391;1;40036;19;0.0
77.0;9403;1;39976;19;0.0
72.0;9409;1;39909;21;0.0
